gene_name,log 2 FC,orginial p,adjusted p
CD151,2.739656753877068,3.4886453301173234e-48,0.0
SUMF2,2.514877354319592,5.2384067435734364e-48,0.0
DOCK9,-3.4129311741321873,5.65679727728395e-48,0.0
GRIK2,-3.3232442652064047,7.193730543422742e-48,0.0
CADM2,-3.2094331426933094,8.406876091195771e-48,0.0
SOX8,-3.0895640199122814,1.8982556486444492e-47,0.0
ZFP36,2.765966824627248,1.9288043239332608e-47,0.0
ME1,-5.05170090615456,2.108110025691268e-47,0.0
ALDOC,-2.018615037259012,2.6717570344454052e-47,0.0
NALCN,-3.7167408390885015,2.7056652875721094e-47,0.0
GAL3ST1,-5.361158888312448,3.5259063165700955e-47,0.0
ACTN1,3.9010742807617835,3.884273322704334e-47,0.0
TNFRSF12A,4.062375214826214,4.3188168768281436e-47,0.0
CRTAC1,-4.913526421089789,4.454011766379405e-47,0.0
LDHA,2.872613793898619,5.056177442715789e-47,0.0
CCN1,3.9168086920353224,3.901988565649727e-46,0.0
RPL36,2.104945284202912,4.155487632631495e-46,0.0
TMSB10,3.8584155266623474,4.206240391398127e-46,0.0
MIR12136,2.1452977294738846,5.424922025048838e-46,0.0
MMP17,-4.429783362958212,5.9078327195432636e-46,0.0
HMGCS1,-3.9207155265259885,9.011132230396867e-46,0.0
ZDHHC22,-4.527773507544028,9.29226820496176e-46,0.0
PIANP,-3.265308670169592,1.0251365657520912e-45,0.0
LRRK2,-3.8272860586809236,1.2968360802312565e-45,0.0
SHC1,3.335003689165236,1.3535799114834871e-45,0.0
MSN,2.5986583989885395,2.5984413538557853e-45,0.0
RPS18,2.0668852228072705,4.4821973647665115e-45,0.0
ZCCHC24,-3.1363990521405123,5.2749167138262213e-45,0.0
CHI3L1,8.466482575558452,5.714266887548068e-45,0.0
FXYD6,-2.590866328092005,6.136294923474931e-45,0.0
CLIC4,2.4485057059068946,1.0747503397359088e-44,0.0
RAB13,3.1736862722566137,1.8551203660154688e-44,0.0
COL20A1,-3.642407643001997,2.1079766465531323e-44,0.0
INSIG1,-2.7373606869891938,2.421491563257527e-44,0.0
RPLP2,1.9068034735842578,2.9236555756439506e-44,0.0
SOX9,2.2273959252118405,3.175572707419848e-44,0.0
SPP1,3.6014435969821377,3.8663066553731463e-44,0.0
KCNIP3,-4.268434802154446,3.955424449097628e-44,0.0
LGALS3,3.354376858897972,3.9602043337611187e-44,0.0
GNB2,2.2558318791019816,5.273214171081854e-44,0.0
JPH4,-3.6221215177035213,6.356035607889984e-44,0.0
EGFR,2.861198276397333,6.515347563136512e-44,0.0
SEM1,2.2104906892747027,9.386437985472141e-44,0.0
CYFIP2,-2.719169558875707,2.170499985313982e-43,0.0
THY1,-2.8180155686649515,2.8710526503059527e-43,0.0
SERF2,1.6379833896065608,3.2618786093834867e-43,0.0
SCG3,-2.614402128877028,3.5734767227964504e-43,0.0
GEM,4.552277297511451,3.818544788877395e-43,0.0
ALCAM,-2.5965574051879474,3.872852447945589e-43,0.0
S100A11,5.093330790857169,4.997149760220359e-43,0.0
RHEB,1.9182407490627926,6.57198805063536e-43,0.0
ID4,2.1744488395850112,1.6806787101945544e-42,0.0
MRC2,2.753626311919753,2.0530440291887462e-42,0.0
MLC1,2.5895614719682936,2.487603432547485e-42,0.0
WWTR1,2.4859778183691343,3.24482072386186e-42,0.0
BST2,3.7290234787537453,3.579727782834738e-42,0.0
RPS2,1.8075610118221066,4.10614012937693e-42,0.0
PDLIM4,2.6415647235882584,6.490613813906205e-42,0.0
CNTNAP5,-2.90093155454021,1.0902501938273451e-41,0.0
MRPS17,2.179914714412275,1.3672447469497135e-41,0.0
ATP5MF,1.8140873038275218,1.4067628434114917e-41,0.0
POLR2L,2.0530231585634127,1.486478434491696e-41,0.0
TAGLN2,2.7486138192208167,1.6226210672029363e-41,0.0
LAMB2,2.462674707883603,1.7238819204848961e-41,0.0
CHAD,-5.8768814598044194,1.9876502919528412e-41,0.0
GJA1,0.9961444042166254,2.3775594123278024e-41,0.0
PDZD2,-3.596192621875855,3.905126789750137e-41,0.0
RPL35,1.8657789723412328,4.499301295389296e-41,0.0
NTRK2,-2.3761047664022685,5.274468984022948e-41,0.0
SLIT1,-2.8270520975616438,6.187564721035269e-41,0.0
TPI1,1.9702436325295167,6.733734277140941e-41,0.0
RPS10,1.9574551552297448,8.21339797493695e-41,0.0
STMP1,1.9761410679493825,1.2347048510228154e-40,0.0
RND3,4.894720265339915,1.3788814707122058e-40,0.0
IFITM10,-3.433454761608093,1.4550243966522924e-40,0.0
IFITM3,2.030038839938106,1.586068543054383e-40,0.0
CADM3,-2.58099079824945,1.8470617625849998e-40,0.0
MAL,-6.575182557935341,2.3581019672873335e-40,0.0
CA12,5.381114998078436,2.762226195956082e-40,0.0
CRIP2,2.376055203535569,3.2379088191102025e-40,0.0
ABCA1,2.674270642535112,7.226008281667475e-40,0.0
ACSL6,-2.12350490218261,7.737865474879887e-40,0.0
FERMT1,-3.7701617814374813,8.379077962593247e-40,0.0
MALAT1,1.2161649283242155,1.8294618448753507e-39,0.0
MGST1,2.9921215064235342,2.0486730334743104e-39,0.0
TTC9B,-4.8144391523156775,3.435349469677203e-39,0.0
GAPDH,1.7578665957213078,3.7636359058229785e-39,0.0
RN7SK,2.226385661362696,4.279684689465351e-39,0.0
SLITRK1,-3.0891105949585276,5.702106905861318e-39,0.0
TSPAN7,-1.5528717024426297,6.879139511647115e-39,0.0
HOPX,3.5195007825290907,8.289478352794382e-39,0.0
KCNMA1,-3.3980294256890113,1.0561025788027702e-38,0.0
SERPINA3,4.5206313479401725,1.1199931344062851e-38,0.0
SKAP2,3.7035897557222324,1.28357896374853e-38,0.0
ATP1A2,-2.1619648770754587,1.7137363063511008e-38,0.0
UGT8,-4.770067888396795,2.5166235944384995e-38,0.0
CDH19,-3.946557453270822,2.57176986793311e-38,0.0
DPP10,-3.605256512075829,2.97806856916165e-38,0.0
TUBA1C,4.697009490115207,3.343642546638521e-38,0.0
ANXA5,1.9061983165089673,3.882965943859238e-38,0.0
SLC35F1,-2.7928879219954674,4.933046033148568e-38,0.0
AUTS2,2.00635168499853,5.416265045055484e-38,0.0
TGFA,-4.273545842575317,1.107456410609196e-37,0.0
GBP1,4.238449488427702,1.1900897351394325e-37,0.0
KLRC2,-5.205870086062453,1.2812092249732952e-37,0.0
SNCA,-4.735247433504728,1.565159322112475e-37,0.0
PPP1CB,2.3522758377626487,2.245294111178887e-37,0.0
AQP4,1.6482918814220693,2.6214220632777233e-37,0.0
CALU,2.401536190797921,2.6385628216641004e-37,0.0
EZR,2.029598085826136,2.7307262115867965e-37,0.0
AK4,2.3755520216355537,2.9035890640454445e-37,0.0
